Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
2428,1291575093122879488,itisramsharma,1562830591506403330,2022-08-25 15:53:43+00:00,I don't understand why they are playing other games by sacrificing their life. Their should at least a reason for doing this it is not about good and majhab it is only about politics and the people are pawns in the politics please don't destroy poor people property #SarTanSeJuda https://t.co/18BPQKBfUF,en,0,11,don understand why they are playing other game by sacrificing their life their should at least reason for doing this it is not about good and majhab it is only about politics and the people are pawn in the politics please don destroy poor people property URL 
2429,165641975,hemirdesai,1562830512065953792,2022-08-25 15:53:24+00:00,"#SarTanSeJuda is not only slogan but it's been implemented on innocent #KanhaiyaLal. This slogan is not only used in India but US, Maldives n Pakistan.",en,2,9745,is not only slogan but it been implemented on innocent this slogan is not only used in india but u maldives pakistan 
2430,1456601828263555074,JiteshSingh_83,1562830451349557250,2022-08-25 15:53:10+00:00,"@ShefVaidya #SarTanSeJuda is a Secular slogan.

#DeshKeGaddaronKo &amp; #JaiSriRam are Communal slogans.",en,1,216,is secular slogan amp are communal slogan 
2431,1502205739473207296,jokhov08466039,1562830191516581890,2022-08-25 15:52:08+00:00,"@RNChoudhary12 #arrestowaisi #Arrest @INCIndia के दोनो #हैदराबाद(#Hyderabad के #RadicalIslamicTerrorists&amp;
#ArresTasleemRahmani too with #jihadiMegaphone;#ArrestMohammadJubair #ArrestTaukirRaza.&amp; All who saying since #may14.#SarTanSeJuda(#ipc506;
Aft.#kamleshTiwari;#umeshKolhe;#KanhaiyaLal;+302 https://t.co/Gtf2EXnkwZ",en,0,287,too with all who saying since aft URL 
2432,1934388686,ShefVaidya,1562829696811020288,2022-08-25 15:50:10+00:00,This #SarTanSeJuda slogan is basically Izlamic Terr0r! Going on for far too long in India.,en,150,664514,this slogan is basically izlamic terr0r going on for far too long in india 
2433,572503458,ArvindVishwak10,1562829619438718979,2022-08-25 15:49:51+00:00,"#EndTheMobocracy It is not going to end at all as several states government, police administration and left-liberals lashkar including judiciary turned a blind eye against growing #SarTanSeJuda in India. 

#KCRFailedTelangana 
#HyderabadHateFreeRun https://t.co/O0bwiVJOla",en,1,849,it is not going to end at all a several state government police administration and left liberal lashkar including judiciary turned blind eye against growing in india URL 
2435,2479398368,csg52,1562828919606509569,2022-08-25 15:47:05+00:00,"@ndtv #SarTanSeJuda 
@PrannoyRoyNDTV @Indiaaheadnews 
Why YOUR shameless SILENCE ON THE SHOCKING INCIDENTS IN HYDERABAD YESTERDAY AND TODAY OF ""SAR TAN SE JUDA "" CRIES FROM EVEN CHILDREN. WHAT SHAMELESS HYPOCRISY",en,0,27,why your shameless silence on the shocking incident in hyderabad yesterday and today of sar tan se juda cry from even child what shameless hypocrisy 
2437,1507349126677090309,ASatanalkar2,1562828514944253955,2022-08-25 15:45:28+00:00,"#HindusUnderAttack
Hindus are  facing an increasing assault on their very existence along with an unprecedented Hindu hatred.

#SarTanSeJuda-Murders, death threats, forced conversions, love jihad,land grabs, assault, hate speech, denigration of Hindu Gods, #HindusUnderAttack https://t.co/gqAdwJI1UE",en,0,53,hindu are facing an increasing assault on their very existence along with an unprecedented hindu hatred death threat forced conversion love jihad land grab assault hate speech denigration of hindu god URL 
2438,197508779,Satya2184,1562828498011844610,2022-08-25 15:45:24+00:00,@NTVJustIn 1st #SarTanSeJuda slogans bastards ni arrest cheyandi.,en,0,427,1st slogan bastard ni arrest cheyandi 
2439,1363372419805704195,Kilvish16,1562828405657456640,2022-08-25 15:45:02+00:00,"Govn of Telangana and Owaisi is equal responsable for unrest nd Violence in Hyderabad. 
Owaisi nd his party nd workers spreading violence and Govn supporting equally.
#HyderabadCityPolice #Hyderabad 
#SarTanSeJuda #HinduLivesMatters",en,0,11,govn of telangana and owaisi is equal responsable for unrest nd violence in hyderabad owaisi nd his party nd worker spreading violence and govn supporting equally 
